,Year,DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr),PV Energy Output (kWh),Grid Import (kWh),Grid Export (kWh),Battery Charging (kWh),Battery Discharging (kWh),Battery SOC,Battery Energy level (kWh)
6456,11,6,0,5.37642,63.93228971805238,0.0,0.00044295483863182275,0.00048448185475355606,0.0682477444022346,0.1653865550985818,0.06869069924086643,0.23411878135556996,-3.0170000000000003,5.382,0.0,63.93228971805238,0.0,0.0,0.0,0.4,131.68961052206353
6457,11,6,1,5.23954,68.55988921857143,0.0,0.00044295483863182275,0.00048448185475355606,0.06548694166692835,0.1653865550985818,0.06592989650556018,0.2313579786202637,-3.0170000000000003,5.382,0.0,68.55988921857143,0.0,0.0,0.0,0.4,131.68961052206353
6458,11,6,2,5.08906,69.35010443041078,0.0,0.00044295483863182275,0.00048448185475355606,0.06334954600088495,0.1653865550985818,0.06379250083951678,0.22922058295422032,-3.2963636363636364,5.479090909090909,0.0,69.35010443041078,0.0,0.0,0.0,0.4,131.68961052206353
6459,11,6,3,4.99206,74.36105365913333,0.0,0.00044295483863182275,0.00048448185475355606,0.06165306118944875,0.1653865550985818,0.062096016028080576,0.2275240981427841,-3.009,5.443,0.0,74.36105365913333,0.0,0.0,0.0,0.4,131.68961052206353
6460,11,6,4,4.896459999999999,72.07312965331667,0.0,0.00044295483863182275,0.00048448185475355606,0.05960034376700514,0.1653865550985818,0.060043298605636966,0.2254713807203405,-2.674,6.568,0.0,141.30064724666008,0.0,69.2275175933434,0.0,0.5938628555196152,195.5139203672465
6461,11,6,5,4.8035,75.62764722897381,0.23986,0.00044295483863182275,0.00048448185475355606,0.060704080873240744,0.1653865550985818,0.06114703571187257,0.2265751178265761,-2.674,6.568,0.08053228131950947,129.5702987277578,0.0,54.0231837801035,0.0,0.7451479085731261,245.32059465331292
6462,11,6,6,4.9602,101.51168567219284,21.56084,0.00044295483863182275,0.00048448185475355606,0.06745206090633725,0.1653865550985818,0.06789501574496908,0.2333230978596726,-2.674,6.568,7.222363374813672,94.28932229737917,0.0,0.0,0.0,0.7451479085731261,245.32059465331292
6463,11,6,7,5.80976,97.38357191029762,92.1853,0.00044295483863182275,0.00048448185475355606,0.06727248463111636,0.1653865550985818,0.06771543946974819,0.23314352158445173,-2.373,6.523999999999999,30.61097438761919,66.77259752267842,0.0,0.0,0.0,0.7451479085731261,245.32059465331292
6464,11,6,8,6.905119999999999,91.20910067430582,197.91688,0.00044295483863182275,0.00048448185475355606,0.07484826749388958,0.1653865550985818,0.0752912223325214,0.24071930444722495,-2.316,5.183,64.89420828548963,26.31489238881619,0.0,0.0,0.0,0.7451479085731261,245.32059465331292
6465,11,6,9,8.24094,97.87502122709525,307.9515,0.0013219433465417076,0.0014672879029679125,0.07743679380256116,0.1653865550985818,0.07875873714910286,0.24429063680411087,-2.316,5.183,99.56945072273908,0.0,0.0,1.6944294956438313,0.0,0.749892942801159,246.88277392682176
