DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr)
2,12,3.584675,121.1666388166875,97.1955,0.00667,0.00745,0.06848,0.16,0.07514999999999998,0.23593,-7.4975000000000005,9.90625
2,13,3.6189,123.88907988091667,79.30369999999999,0.00667,0.00745,0.06892499999999999,0.16,0.07559499999999997,0.236375,-7.4975000000000005,9.90625
2,14,3.4051,116.23676666402083,47.757225,0.00667,0.00745,0.06942749999999999,0.16,0.07609749999999997,0.23687750000000002,-7.4975000000000005,9.90625
2,15,2.926075,111.99028863291666,12.964775,0.00667,0.00745,0.07289749999999999,0.16,0.07956749999999996,0.2403475,-7.4975000000000005,9.90625
2,16,2.4991000000000003,93.49859853254166,0.09437499999999999,0.00667,0.00745,0.08235874999999998,0.16,0.08902874999999995,0.24980874999999997,-6.54125,10.84
2,17,2.376825,89.40952012220833,0.0,0.00667,0.00745,0.093885,0.16,0.10055499999999996,0.261335,-6.54125,10.84
2,18,2.272325,87.07085189229167,0.0,0.00667,0.00745,0.0892375,0.16,0.09590749999999998,0.2566875,-6.54125,10.84
2,19,2.22535,93.2680876680625,0.0,0.00667,0.00745,0.07760875,0.16,0.08427874999999994,0.24505874999999996,-6.54125,10.84
2,20,2.226075,95.27770654870834,0.0,0.00667,0.00745,0.07197499999999998,0.16,0.07864499999999998,0.239425,-5.2425,8.9475
2,21,2.243375,92.27428373424999,0.0,0.00667,0.00745,0.07145125,0.16,0.07812125,0.23890124999999998,-5.2425,8.9475
2,22,2.192775,77.10349194627084,0.0,0.00032,0.00035,0.06476875,0.16,0.06508875,0.22511875,-5.2425,8.9475
2,23,2.16005,72.05203548310416,0.0,0.00032,0.00035,0.06252249999999998,0.16,0.06284249999999998,0.2228725,-5.2425,8.9475
3,0,1.9028761904761904,66.03186590883334,0.0,0.00032,0.00035,0.0493885714285714,0.16,0.049708571428571414,0.20973857142857144,-2.1933333333333334,5.8723809523809525
3,1,1.8828,71.840269552,0.0,0.00032,0.00035,0.048413333333333294,0.16,0.048733333333333316,0.20876333333333333,-2.1933333333333334,5.8723809523809525
3,2,1.9133904761904763,67.93830228253968,0.0,0.00032,0.00035,0.04447999999999998,0.16,0.044799999999999986,0.20482999999999998,-2.1933333333333334,5.8723809523809525
3,3,1.9333428571428573,75.72683273711111,0.0,0.00032,0.00035,0.04321238095238094,0.16,0.04353238095238095,0.20356238095238094,-2.1933333333333334,5.8723809523809525
3,4,1.990257142857143,78.30250315267888,0.0,0.00032,0.00035,0.04527999999999999,0.16,0.045599999999999995,0.20562999999999998,-4.5304761904761905,7.2057142857142855
3,5,2.0521238095238097,80.88136860653174,0.0,0.00032,0.00035,0.052896666666666654,0.16,0.053216666666666655,0.21324666666666667,-4.5304761904761905,7.2057142857142855
3,6,2.0937333333333337,104.99110835094444,0.0,0.00032,0.00035,0.0645304761904762,0.16,0.06485047619047618,0.2248804761904762,-4.5304761904761905,7.2057142857142855
3,7,2.1682761904761905,108.53723774095054,3.98507619047619,0.00667,0.00745,0.07116952380952381,0.16,0.07783952380952378,0.2386195238095238,-4.5304761904761905,7.2057142857142855
3,8,2.5880857142857145,104.22641482580461,39.317638095238095,0.00667,0.00745,0.07029571428571428,0.16,0.07696571428571426,0.23774571428571428,-4.92,6.615714285714286
3,9,3.2980095238095237,110.2585598045,97.01660952380952,0.00667,0.00745,0.06739904761904761,0.16,0.0740690476190476,0.2348490476190476,-4.92,6.615714285714286
3,10,4.024352380952381,107.38113564929365,150.66919047619047,0.00667,0.00745,0.0627895238095238,0.16,0.06945952380952379,0.23023952380952378,-4.92,6.615714285714286
3,11,4.5514,109.63481715046973,187.71560952380952,0.00667,0.00745,0.06002095238095237,0.16,0.06669095238095235,0.22747095238095238,-4.92,6.615714285714286
3,12,4.875066666666667,116.86282270173507,201.02188571428573,0.00667,0.00745,0.06033619047619047,0.16,0.06700619047619046,0.22778619047619048,-4.967142857142857,8.28
3,13,4.993085714285714,115.98799176741484,189.51451428571428,0.00667,0.00745,0.05975285714285714,0.16,0.06642285714285713,0.22720285714285712,-4.967142857142857,8.28
3,14,4.844028571428571,110.37479279254177,149.35450476190476,0.00667,0.00745,0.0609395238095238,0.16,0.0676095238095238,0.2283895238095238,-4.967142857142857,8.28
3,15,4.368333333333333,110.36463933152429,82.48178095238096,0.00667,0.00745,0.0626295238095238,0.16,0.06929952380952378,0.23007952380952382,-4.967142857142857,8.28
3,16,3.619561904761905,103.96281337120635,23.659990476190476,0.00667,0.00745,0.06835047619047617,0.16,0.07502047619047617,0.2358004761904762,-5.793333333333333,7.980952380952381
3,17,3.015561904761905,100.7856131738254,0.7510285714285714,0.057429999999999995,0.06809,0.07735285714285713,0.16,0.13478285714285715,0.3054428571428571,-5.793333333333333,7.980952380952381
3,18,2.7678857142857147,101.28741311109525,0.0,0.057429999999999995,0.06809,0.0775947619047619,0.16,0.1350247619047619,0.3056847619047619,-5.793333333333333,7.980952380952381
3,19,2.614209523809524,108.10550229507143,0.0,0.057429999999999995,0.06809,0.07448523809523808,0.16,0.13191523809523809,0.30257523809523806,-5.793333333333333,7.980952380952381
3,20,2.483904761904762,103.99216639226985,0.0,0.00667,0.00745,0.06493285714285713,0.16,0.07160285714285711,0.2323828571428571,-4.563809523809524,6.432380952380953
3,21,2.344047619047619,99.39774226384127,0.0,0.00667,0.00745,0.061929999999999985,0.16,0.06859999999999997,0.22937999999999997,-4.563809523809524,6.432380952380953
3,22,2.2353809523809525,69.40958086503628,0.0,0.00032,0.00035,0.05431333333333332,0.16,0.05463333333333333,0.21466333333333334,-4.563809523809524,6.432380952380953
3,23,2.2029714285714284,61.77349576184127,0.0,0.00032,0.00035,0.051676666666666655,0.16,0.051996666666666656,0.21202666666666667,-4.563809523809524,6.432380952380953
4,0,2.0307,65.72508298318749,0.0,0.00032,0.00035,0.05143499999999999,0.16,0.05175499999999999,0.211785,-1.48625,5.16625
4,1,1.9778250000000002,70.1639174783125,0.0,0.00032,0.00035,0.050031249999999985,0.16,0.05035125,0.21038125,-1.48625,5.16625
4,2,1.9618250000000002,68.96408301277083,0.0,0.00032,0.00035,0.0458125,0.16,0.0461325,0.2061625,-1.48625,5.16625
4,3,1.91465,72.96060623418751,0.0,0.00032,0.00035,0.04381374999999998,0.16,0.04413374999999998,0.20416375,-1.48625,5.16625
4,4,1.8657,72.6206715061045,0.0,0.00032,0.00035,0.04266249999999997,0.16,0.042982499999999986,0.20301249999999998,-3.13,6.7325
4,5,1.78765,79.17753414572917,0.0,0.00032,0.00035,0.04323999999999999,0.16,0.04355999999999999,0.20359,-3.13,6.7325
4,6,1.73895,107.89128705174436,0.0,0.00032,0.00035,0.04837125,0.16,0.04869125,0.20872125,-3.13,6.7325
4,7,1.73605,104.5299754202361,3.4091500000000003,0.00032,0.00035,0.04935249999999997,0.16,0.04967249999999999,0.20970250000000001,-3.13,6.7325
4,8,2.102675,94.84233794682078,38.344675,0.00032,0.00035,0.054894999999999985,0.16,0.055214999999999986,0.215245,-4.22375,6.50875
4,9,2.77805,99.85155100172916,103.56875,0.00032,0.00035,0.060619999999999986,0.16,0.06094,0.22097,-4.22375,6.50875
4,10,3.384725,111.779301575,158.02785,0.00667,0.00745,0.061361249999999985,0.16,0.06803124999999999,0.22881125,-4.22375,6.50875
4,11,3.8680000000000003,117.24092124297916,181.73725000000002,0.00667,0.00745,0.05952374999999997,0.16,0.06619375,0.22697375,-4.22375,6.50875
4,12,4.1325,118.3183430415,188.49665,0.00667,0.00745,0.060242500000000004,0.16,0.0669125,0.2276925,-4.9325,7.98
4,13,4.212925,119.84615366652083,175.42315000000002,0.00667,0.00745,0.05531749999999998,0.16,0.06198749999999999,0.22276749999999998,-4.9325,7.98
4,14,4.0399,112.30413314456251,130.632575,0.00667,0.00745,0.054007499999999986,0.16,0.06067749999999998,0.2214575,-4.9325,7.98
4,15,3.5451750000000004,109.45255859102083,68.267075,0.00667,0.00745,0.05648625,0.16,0.06315625,0.22393625,-4.9325,7.98
4,16,2.8164249999999997,87.4435175328125,17.3115,0.00667,0.00745,0.06605999999999994,0.16,0.07272999999999995,0.23350999999999997,-4.5475,7.52875
4,17,2.22275,82.33966298952083,0.30565,0.00667,0.00745,0.07986874999999997,0.16,0.08653874999999997,0.24731875,-4.5475,7.52875
4,18,1.962525,81.490221992625,0.0,0.00667,0.00745,0.07960874999999999,0.16,0.08627874999999999,0.24705875,-4.5475,7.52875
4,19,1.835075,88.38502217247917,0.0,0.00667,0.00745,0.06800874999999998,0.16,0.07467874999999996,0.23545875,-4.5475,7.52875
4,20,1.7785000000000002,88.05000121477083,0.0,0.00667,0.00745,0.05906499999999996,0.16,0.06573499999999997,0.226515,-2.7625,5.8275
4,21,1.699325,91.4592403533125,0.0,0.00667,0.00745,0.05831625,0.16,0.06498624999999998,0.22576625,-2.7625,5.8275
4,22,1.5845,73.38922523202083,0.0,0.00032,0.00035,0.05009125,0.16,0.05041125,0.21044125,-2.7625,5.8275
4,23,1.4690250000000002,66.45244733570833,0.0,0.00032,0.00035,0.04874875,0.16,0.04906875,0.20909875,-2.7625,5.8275
5,0,2.298314285714286,65.06221940083333,0.0,0.00032,0.00035,0.05772809523809523,0.16,0.05804809523809523,0.2180780952380952,-3.5023809523809524,5.95952380952381
5,1,2.263304761904762,70.44139365823679,0.0,0.00032,0.00035,0.05653142857142855,0.16,0.05685142857142855,0.21688142857142856,-3.5023809523809524,5.95952380952381
5,2,2.0540190476190476,68.14951556883334,0.0,0.00032,0.00035,0.0534995238095238,0.16,0.053819523809523796,0.21384952380952382,-3.5023809523809524,5.95952380952381
5,3,1.9724285714285714,75.2666429773103,0.0,0.00032,0.00035,0.052083809523809504,0.16,0.05240380952380952,0.2124338095238095,-3.5023809523809524,5.95952380952381
