DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr)
1,0,3.443304347826087,75.72118516513768,0.0,0.00032,0.00035,0.05816260869565216,0.16,0.05848260869565216,0.21851260869565217,-3.536086956521739,8.640434782608695
1,1,3.3784173913043474,84.58695301080435,0.0,0.00032,0.00035,0.056872173913043465,0.16,0.05719217391304347,0.21722217391304346,-3.536086956521739,8.640434782608695
1,2,3.3115652173913044,83.58443949785298,0.0,0.00032,0.00035,0.052463478260869556,0.16,0.05278347826086956,0.21281347826086955,-3.536086956521739,8.640434782608695
1,3,3.282391304347826,87.33226243678178,0.0,0.00032,0.00035,0.05105695652173912,0.16,0.05137695652173912,0.21140695652173913,-3.536086956521739,8.640434782608695
1,4,3.257391304347826,82.94242811887919,0.0,0.00032,0.00035,0.052010434782608694,0.16,0.052330434782608695,0.2123604347826087,-5.900434782608696,10.586521739130434
1,5,3.2361565217391304,84.73726565788407,0.0,0.00032,0.00035,0.06037478260869565,0.16,0.06069478260869565,0.22072478260869566,-5.900434782608696,10.586521739130434
1,6,3.217382608695652,116.2381568636884,0.0,0.00032,0.00035,0.07294739130434781,0.16,0.07326739130434781,0.23329739130434785,-5.900434782608696,10.586521739130434
1,7,3.2076434782608696,116.73140817650001,0.46271304347826087,0.00667,0.00745,0.08327652173913043,0.16,0.08994652173913043,0.2507265217391304,-5.900434782608696,10.586521739130434
1,8,3.496982608695652,109.9745391396884,23.30951304347826,0.00667,0.00745,0.08460173913043477,0.16,0.09127173913043475,0.25205173913043477,-6.800869565217392,10.270434782608696
1,9,4.225869565217391,116.01885969858611,75.4596,0.00667,0.00745,0.08253434782608694,0.16,0.08920434782608691,0.24998434782608694,-6.800869565217392,10.270434782608696
1,10,5.022034782608696,114.38079358582608,129.34922608695652,0.00667,0.00745,0.07872043478260869,0.16,0.08539043478260867,0.24617043478260867,-6.800869565217392,10.270434782608696
1,11,5.807791304347827,115.8306640259101,166.7837739130435,0.00667,0.00745,0.07291565217391302,0.16,0.079585652173913,0.24036565217391304,-6.800869565217392,10.270434782608696
1,12,6.328991304347826,121.58316108947827,172.75046086956522,0.00667,0.00745,0.07276260869565217,0.16,0.07943260869565213,0.24021260869565217,-5.310434782608696,13.656521739130437
1,13,6.4916,124.51059870285508,145.73497391304346,0.00667,0.00745,0.07547565217391304,0.16,0.08214565217391302,0.24292565217391307,-5.310434782608696,13.656521739130437
1,14,6.2661304347826094,117.67097903269566,96.22854782608697,0.00667,0.00745,0.07802086956521738,0.16,0.08469086956521736,0.2454708695652174,-5.310434782608696,13.656521739130437
1,15,5.4185043478260875,118.40630556611595,34.41921739130435,0.00667,0.00745,0.08163608695652173,0.16,0.0883060869565217,0.24908608695652174,-5.310434782608696,13.656521739130437
1,16,4.485773913043478,113.39366769621014,1.1956,0.00667,0.00745,0.09251521739130433,0.16,0.09918521739130431,0.25996521739130435,-7.028260869565218,10.691739130434783
1,17,4.143113043478261,110.7047687656511,0.0,0.05743,0.06809,0.09772478260869563,0.16,0.15515478260869564,0.3258147826086956,-7.028260869565218,10.691739130434783
1,18,3.899504347826087,108.45337078279151,0.0,0.05743,0.06809,0.09010956521739129,0.16,0.14753956521739128,0.3181995652173913,-7.028260869565218,10.691739130434783
1,19,3.7060173913043477,116.10255095870632,0.0,0.05743,0.06809,0.08427478260869564,0.16,0.14170478260869565,0.31236478260869566,-7.028260869565218,10.691739130434783
1,20,3.551991304347826,110.8631942903066,0.0,0.00667,0.00745,0.07544521739130433,0.16,0.08211521739130431,0.24289521739130432,-5.94,9.172173913043478
1,21,3.453669565217391,105.14734109685509,0.0,0.00667,0.00745,0.07150695652173912,0.16,0.0781769565217391,0.23895695652173912,-5.94,9.172173913043478
1,22,3.4000956521739134,75.13890387624637,0.0,0.00032,0.00035,0.06336086956521739,0.16,0.06368086956521739,0.22371086956521738,-5.94,9.172173913043478
1,23,3.380556521739131,67.3655129919058,0.0,0.00032,0.00035,0.059389999999999984,0.16,0.05971,0.21974,-5.94,9.172173913043478
2,0,3.6358,72.31673393633334,0.0,0.00032,0.00035,0.06881124999999999,0.16,0.06913125,0.22916124999999998,-5.955,8.7275
2,1,3.5391250000000003,81.047110132,0.0,0.00032,0.00035,0.06580625,0.16,0.06612625,0.22615625,-5.955,8.7275
2,2,3.4076750000000002,84.50212709387228,0.0,0.00032,0.00035,0.06104749999999999,0.16,0.06136749999999999,0.2213975,-5.955,8.7275
2,3,3.311025,93.2956026514832,0.0,0.00032,0.00035,0.058007500000000004,0.16,0.0583275,0.2183575,-5.955,8.7275
2,4,3.249575,86.98158400672916,0.0,0.00032,0.00035,0.05684124999999999,0.16,0.057161250000000004,0.21719125,-6.1362499999999995,9.19375
2,5,3.2056250000000004,85.99039901914583,0.0,0.00032,0.00035,0.05683625,0.16,0.05715625,0.21718625,-6.1362499999999995,9.19375
2,6,3.21585,111.37923630487501,0.0,0.00032,0.00035,0.060693749999999984,0.16,0.061013749999999985,0.22104375,-6.1362499999999995,9.19375
2,7,3.2624000000000004,116.95424682466667,0.380975,0.00032,0.00035,0.06439874999999999,0.16,0.06471874999999999,0.22474875,-6.1362499999999995,9.19375
2,8,3.6039250000000003,107.91072568775,26.130675,0.00032,0.00035,0.06937375,0.16,0.06969375,0.22972375,-6.44625,8.85875
2,9,4.392875,111.340798840875,85.34105,0.00032,0.00035,0.07042499999999999,0.16,0.07074499999999999,0.230775,-6.44625,8.85875
2,10,5.272525,118.72011451752084,140.462,0.00667,0.00745,0.07048999999999998,0.16,0.07715999999999998,0.23794,-6.44625,8.85875
2,11,6.1343250000000005,118.405330212125,177.435825,0.00667,0.00745,0.07056375,0.16,0.07723375,0.23801375,-6.44625,8.85875
2,12,6.7102,121.1666388166875,181.50705,0.00667,0.00745,0.06848,0.16,0.07514999999999998,0.23593,-7.4975000000000005,9.90625
2,13,6.956525,123.88907988091667,155.96337499999998,0.00667,0.00745,0.06892499999999999,0.16,0.07559499999999997,0.236375,-7.4975000000000005,9.90625
2,14,6.7737,116.23676666402083,101.006325,0.00667,0.00745,0.06942749999999999,0.16,0.07609749999999997,0.23687750000000002,-7.4975000000000005,9.90625
2,15,5.925050000000001,111.99028863291666,36.633775,0.00667,0.00745,0.07289749999999999,0.16,0.07956749999999996,0.2403475,-7.4975000000000005,9.90625
2,16,5.012275,93.49859853254166,1.223425,0.00667,0.00745,0.08235874999999998,0.16,0.08902874999999995,0.24980874999999997,-6.54125,10.84
2,17,4.71505,89.40952012220833,0.0,0.00667,0.00745,0.093885,0.16,0.10055499999999996,0.261335,-6.54125,10.84
2,18,4.502225,87.07085189229167,0.0,0.00667,0.00745,0.0892375,0.16,0.09590749999999998,0.2566875,-6.54125,10.84
2,19,4.339925,93.2680876680625,0.0,0.00667,0.00745,0.07760875,0.16,0.08427874999999994,0.24505874999999996,-6.54125,10.84
2,20,4.2128,95.27770654870834,0.0,0.00667,0.00745,0.07197499999999998,0.16,0.07864499999999998,0.239425,-5.2425,8.9475
2,21,4.06655,92.27428373424999,0.0,0.00667,0.00745,0.07145125,0.16,0.07812125,0.23890124999999998,-5.2425,8.9475
2,22,3.9057000000000004,77.10349194627084,0.0,0.00032,0.00035,0.06476875,0.16,0.06508875,0.22511875,-5.2425,8.9475
2,23,3.730675,72.05203548310416,0.0,0.00032,0.00035,0.06252249999999998,0.16,0.06284249999999998,0.2228725,-5.2425,8.9475
3,0,4.572066666666667,66.03186590883334,0.0,0.00032,0.00035,0.0493885714285714,0.16,0.049708571428571414,0.20973857142857144,-2.1933333333333334,5.8723809523809525
3,1,4.492276190476191,71.840269552,0.0,0.00032,0.00035,0.048413333333333294,0.16,0.048733333333333316,0.20876333333333333,-2.1933333333333334,5.8723809523809525
3,2,4.4562,67.93830228253968,0.0,0.00032,0.00035,0.04447999999999998,0.16,0.044799999999999986,0.20482999999999998,-2.1933333333333334,5.8723809523809525
3,3,4.482180952380952,75.72683273711111,0.0,0.00032,0.00035,0.04321238095238094,0.16,0.04353238095238095,0.20356238095238094,-2.1933333333333334,5.8723809523809525
3,4,4.5091809523809525,78.30250315267888,0.0,0.00032,0.00035,0.04527999999999999,0.16,0.045599999999999995,0.20562999999999998,-4.5304761904761905,7.2057142857142855
3,5,4.560809523809524,80.88136860653174,0.0,0.00032,0.00035,0.052896666666666654,0.16,0.053216666666666655,0.21324666666666667,-4.5304761904761905,7.2057142857142855
3,6,4.597466666666667,104.99110835094444,0.13817142857142856,0.00032,0.00035,0.0645304761904762,0.16,0.06485047619047618,0.2248804761904762,-4.5304761904761905,7.2057142857142855
3,7,4.690847619047619,108.53723774095054,17.387047619047618,0.00667,0.00745,0.07116952380952381,0.16,0.07783952380952378,0.2386195238095238,-4.5304761904761905,7.2057142857142855
3,8,5.303333333333334,104.22641482580461,76.95450476190476,0.00667,0.00745,0.07029571428571428,0.16,0.07696571428571426,0.23774571428571428,-4.92,6.615714285714286
3,9,6.241342857142857,110.2585598045,159.8206,0.00667,0.00745,0.06739904761904761,0.16,0.0740690476190476,0.2348490476190476,-4.92,6.615714285714286
3,10,7.275657142857144,107.38113564929365,240.3878,0.00667,0.00745,0.0627895238095238,0.16,0.06945952380952379,0.23023952380952378,-4.92,6.615714285714286
3,11,8.105685714285714,109.63481715046973,293.05068571428575,0.00667,0.00745,0.06002095238095237,0.16,0.06669095238095235,0.22747095238095238,-4.92,6.615714285714286
3,12,8.617142857142857,116.86282270173507,299.55486666666667,0.00667,0.00745,0.06033619047619047,0.16,0.06700619047619046,0.22778619047619048,-4.967142857142857,8.28
3,13,8.827599999999999,115.98799176741484,264.4115428571428,0.00667,0.00745,0.05975285714285714,0.16,0.06642285714285713,0.22720285714285712,-4.967142857142857,8.28
3,14,8.757733333333332,110.37479279254177,201.00572380952383,0.00667,0.00745,0.0609395238095238,0.16,0.0676095238095238,0.2283895238095238,-4.967142857142857,8.28
3,15,8.284123809523809,110.36463933152429,115.61853333333333,0.00667,0.00745,0.0626295238095238,0.16,0.06929952380952378,0.23007952380952382,-4.967142857142857,8.28
3,16,7.234009523809523,103.96281337120635,33.85646666666667,0.00667,0.00745,0.06835047619047617,0.16,0.07502047619047617,0.2358004761904762,-5.793333333333333,7.980952380952381
3,17,6.26887619047619,100.7856131738254,0.7785428571428571,0.057429999999999995,0.06809,0.07735285714285713,0.16,0.13478285714285715,0.3054428571428571,-5.793333333333333,7.980952380952381
3,18,5.863609523809524,101.28741311109525,0.0,0.057429999999999995,0.06809,0.0775947619047619,0.16,0.1350247619047619,0.3056847619047619,-5.793333333333333,7.980952380952381
3,19,5.539704761904762,108.10550229507143,0.0,0.057429999999999995,0.06809,0.07448523809523808,0.16,0.13191523809523809,0.30257523809523806,-5.793333333333333,7.980952380952381
3,20,5.3166,103.99216639226985,0.0,0.00667,0.00745,0.06493285714285713,0.16,0.07160285714285711,0.2323828571428571,-4.563809523809524,6.432380952380953
3,21,5.167361904761905,99.39774226384127,0.0,0.00667,0.00745,0.061929999999999985,0.16,0.06859999999999997,0.22937999999999997,-4.563809523809524,6.432380952380953
3,22,5.066409523809524,69.40958086503628,0.0,0.00032,0.00035,0.05431333333333332,0.16,0.05463333333333333,0.21466333333333334,-4.563809523809524,6.432380952380953
